desc_distrito_local,desc_epigrafe,count_2015,count_2018,diff_perc,diff
ARGANZUELA,"ACABADO DE EDIFICIOS (CARPINTERIA, REVOCAMIENTO, REVESTIMIENTO DE SUELOS Y PAREDES,  PINTURA, ACRISTALAMIENTO)",18,25,38.88888888888889,7
ARGANZUELA,ACTIVIDADES ADMINISTRATIVAS Y AUXILIARES DE OFICINA Y SERVICIOS DE REPROGRAFIA,51,95,86.27450980392157,44
ARGANZUELA,ACTIVIDADES ANEXAS AL TRANSPORTE,14,13,-7.142857142857142,-1
ARGANZUELA,"ACTIVIDADES CINEMATOGRAFICAS, DE VIDEO Y DE TELEVISION (PRODUCCION, DISTRIBUCION Y EXHIBICION)",13,14,7.6923076923076925,1
ARGANZUELA,"ACTIVIDADES DE APOYO A LAS EMPRESAS N.C.O.P. (AGENCIAS DE COBROS, ENVASADO Y EMPAQUETADO)",1,1,0,0
ARGANZUELA,"ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y DE GALERIAS Y SALAS DE EXPOSICIONES SIN VENTA",9,9,0,0
ARGANZUELA,ACTIVIDADES DE CLUBES DEPORTIVOS Y OTRAS ACTIVIDADES DEPORTIVAS,4,2,-50,-2
ARGANZUELA,ACTIVIDADES DE CONSULTORIA DE GESTION EMPRESARIAL,7,4,-42.857142857142854,-3
ARGANZUELA,"ACTIVIDADES DE CONTABILIDAD, TENEDURIA, AUDITORIA Y ASESORIA FISCAL",32,31,-3.125,-1
ARGANZUELA,"ACTIVIDADES DE CREACION, ARTISTICAS Y ESPECTACULOS",12,15,25,3
ARGANZUELA,ACTIVIDADES DE DISEÑO ESPECIALIZADO,3,4,33.33333333333333,1
ARGANZUELA,ACTIVIDADES DE JARDINERIA,1,1,0,0
ARGANZUELA,ACTIVIDADES DE LAS AGENCIAS DE COLOCACION,1,1,0,0
ARGANZUELA,ACTIVIDADES DE LAS EMPRESAS DE TRABAJO TEMPORAL,4,4,0,0
ARGANZUELA,ACTIVIDADES DE LAS SEDES CENTRALES,4,10,150,6
ARGANZUELA,ACTIVIDADES DE LIMPIEZA,15,18,20,3
ARGANZUELA,ACTIVIDADES DE LOS GIMNASIOS,31,36,16.129032258064516,5
ARGANZUELA,ACTIVIDADES DE ORGANIZACIONES POLITICAS,5,7,40,2
